,R0,Sero_peak
648,1.648,23.0628
649,1.649,23.0797
650,1.65,23.0884
651,1.651,23.1044
652,1.652,23.12
653,1.653,23.1351
654,1.654,23.1499
655,1.655,23.1642
656,1.656,23.1781
657,1.657,23.1916
658,1.658,23.2124
659,1.659,23.2251
660,1.66,23.2373
661,1.661,23.2569
662,1.662,23.2684
663,1.663,23.2793
664,1.664,23.2978
665,1.665,23.3158
666,1.666,23.3256
667,1.667,23.3428
668,1.668,23.3517
669,1.669,23.3682
670,1.67,23.3842
671,1.671,23.3998
672,1.672,23.4151
673,1.673,23.43
674,1.674,23.4364
675,1.675,23.4504
676,1.676,23.4721
677,1.677,23.4854
678,1.678,23.4983
679,1.679,23.5107
680,1.68,23.5228
681,1.681,23.5344
682,1.682,23.5538
683,1.683,23.5647
684,1.684,23.5834
685,1.685,23.5935
686,1.686,23.6031
687,1.687,23.6206
688,1.688,23.6378
689,1.689,23.6463
690,1.69,23.6626
691,1.691,23.6786
692,1.692,23.6859
693,1.693,23.7012
694,1.694,23.716
695,1.695,23.7305
696,1.696,23.7446
697,1.697,23.7583
698,1.698,23.7717
699,1.699,23.7846
700,1.7,23.7972
701,1.701,23.8094
702,1.702,23.8212
703,1.703,23.8327
704,1.704,23.8437
705,1.705,23.863
706,1.706,23.8733
707,1.707,23.8832
708,1.708,23.9013
709,1.709,23.9105
710,1.71,23.9279
711,1.711,23.9363
712,1.712,23.953
713,1.713,23.9606
714,1.714,23.9766
715,1.715,23.9922
716,1.716,23.9987
717,1.717,24.0136
718,1.718,24.0281
719,1.719,24.0423
720,1.72,24.0473
721,1.721,24.0607
722,1.722,24.0738
723,1.723,24.0865
724,1.724,24.0989
725,1.725,24.1108
726,1.726,24.1225
727,1.727,24.1337
728,1.728,24.1536
729,1.729,24.1641
730,1.73,24.1743
731,1.731,24.1841
732,1.732,24.2026
733,1.733,24.2117
734,1.734,24.2205
735,1.735,24.2379
736,1.736,24.2459
737,1.737,24.2627
738,1.738,24.27
739,1.739,24.2861
740,1.74,24.2927
741,1.741,24.308
742,1.742,24.3139
743,1.743,24.3286
744,1.744,24.343
745,1.745,24.357
746,1.746,24.3614
747,1.747,24.3747
748,1.748,24.3877
749,1.749,24.4004
750,1.75,24.4127
751,1.751,24.4246
752,1.752,24.4362
753,1.753,24.4475
754,1.754,24.4585
755,1.755,24.4691
756,1.756,24.4793
757,1.757,24.4892
758,1.758,24.4988
759,1.759,24.5175
760,1.76,24.5264
761,1.761,24.5349
762,1.762,24.5526
763,1.763,24.5605
764,1.764,24.5681
765,1.765,24.5848
766,1.766,24.5917
767,1.767,24.6077
768,1.768,24.6139
769,1.769,24.6294
770,1.77,24.6349
771,1.771,24.6497
772,1.772,24.6545
773,1.773,24.6687
774,1.774,24.6825
775,1.775,24.696
776,1.776,24.6995
777,1.777,24.7124
778,1.778,24.7249
779,1.779,24.7371
780,1.78,24.749
781,1.781,24.7508
782,1.782,24.7621
783,1.783,24.773
784,1.784,24.7836
785,1.785,24.7939
786,1.786,24.8039
787,1.787,24.8234
788,1.788,24.8328
789,1.789,24.8418
790,1.79,24.8505
791,1.791,24.8589
792,1.792,24.867
793,1.793,24.8847
794,1.794,24.8921
795,1.795,24.8992
796,1.796,24.9161
797,1.797,24.9225
798,1.798,24.9287
799,1.799,24.9446
800,1.8,24.9501
801,1.801,24.9654
802,1.802,24.9703
803,1.803,24.985
804,1.804,24.9893
805,1.805,25.0034
806,1.806,25.0172
807,1.807,25.0205
808,1.808,25.0337
809,1.809,25.0466
810,1.81,25.0489
811,1.811,25.0612
812,1.812,25.0732
813,1.813,25.0849
814,1.814,25.0963
815,1.815,25.0971
816,1.816,25.1079
817,1.817,25.1184
818,1.818,25.1286
819,1.819,25.1385
820,1.82,25.1481
821,1.821,25.1574
822,1.822,25.1664
823,1.823,25.1751
824,1.824,25.1835
825,1.825,25.2021
826,1.826,25.2099
827,1.827,25.2174
828,1.828,25.2247
829,1.829,25.2316
830,1.83,25.2488
831,1.831,25.2551
832,1.832,25.2611
833,1.833,25.2775
834,1.834,25.2829
835,1.835,25.2881
836,1.836,25.3036
837,1.837,25.3081
838,1.838,25.3231
839,1.839,25.327
840,1.84,25.3414
841,1.841,25.3448
842,1.842,25.3586
843,1.843,25.3614
844,1.844,25.3747
845,1.845,25.3876
846,1.846,25.3895
847,1.847,25.402
848,1.848,25.4141
849,1.849,25.4151
850,1.85,25.4267
851,1.851,25.438
852,1.852,25.4491
853,1.853,25.4489
854,1.854,25.4594
855,1.855,25.4696
856,1.856,25.4795
857,1.857,25.4892
858,1.858,25.4986
859,1.859,25.5077
860,1.86,25.5165
861,1.861,25.525
862,1.862,25.5333
863,1.863,25.5413
864,1.864,25.549
865,1.865,25.5564
866,1.866,25.5636
867,1.867,25.5705
868,1.868,25.5883
869,1.869,25.5946
870,1.87,25.6007
871,1.871,25.6064
872,1.872,25.612
873,1.873,25.6284
874,1.874,25.6334
875,1.875,25.6381
876,1.876,25.6538
877,1.877,25.6579
878,1.878,25.6618
879,1.879,25.6767
880,1.88,25.68
881,1.881,25.6944
882,1.882,25.6972
883,1.883,25.7111
884,1.884,25.7133
885,1.885,25.7267
886,1.886,25.7284
887,1.887,25.7412
888,1.888,25.7424
889,1.889,25.7547
890,1.89,25.7668
891,1.891,25.7671
892,1.892,25.7787
893,1.893,25.79
894,1.894,25.7895
895,1.895,25.8003
896,1.896,25.8109
897,1.897,25.8212
898,1.898,25.8313
899,1.899,25.8294
900,1.9,25.8389
901,1.901,25.8482
902,1.902,25.8572
903,1.903,25.866
904,1.904,25.8745
905,1.905,25.8828
906,1.906,25.8908
907,1.907,25.8986
908,1.908,25.9061
909,1.909,25.9133
910,1.91,25.9203
911,1.911,25.927
912,1.912,25.9335
913,1.913,25.9398
914,1.914,25.9457
915,1.915,25.9515
916,1.916,25.9689
917,1.917,25.9741
918,1.918,25.9791
919,1.919,25.9838
920,1.92,25.9882
921,1.921,26.0044
922,1.922,26.0084
923,1.923,26.0121
924,1.924,26.0276
925,1.925,26.0308
926,1.926,26.0338
927,1.927,26.0486
928,1.928,26.051
929,1.929,26.0532
930,1.93,26.0673
931,1.931,26.069
932,1.932,26.0826
933,1.933,26.0838
934,1.934,26.0969
935,1.935,26.0976
936,1.936,26.1103
937,1.937,26.1105
938,1.938,26.1227
939,1.939,26.1347
940,1.94,26.1341
941,1.941,26.1456
942,1.942,26.1446
943,1.943,26.1556
944,1.944,26.1664
945,1.945,26.1646
946,1.946,26.1749
947,1.947,26.185
948,1.948,26.1949
949,1.949,26.1921
950,1.95,26.2015
951,1.951,26.2107
952,1.952,26.2196
953,1.953,26.2284
954,1.954,26.2368
955,1.955,26.2326
956,1.956,26.2406
957,1.957,26.2483
958,1.958,26.2559
959,1.959,26.2632
960,1.96,26.2703
961,1.961,26.2772
962,1.962,26.2838
963,1.963,26.2902
964,1.964,26.2963
965,1.965,26.3023
